model_key,threshold,mask_length,n_prog,n_detected,n_early,n_at_conv,n_missed,sensitivity,specificity,mean_lead_time,median_lead_time,false_alarm_rate,n_ctrl,n_false_alarm
MCI_AD_seed250,0.5,3,79,23,4,19,56,0.2911392405063291,0.9285714285714286,19.32,15.05,0.07142857142857142,14,1
MCI_AD_seed250,0.6,0,79,55,5,50,24,0.6962025316455697,0.9615384615384616,13.844,12.05,0.038461538461538464,78,3
MCI_AD_seed250,0.6,1,79,45,5,40,34,0.569620253164557,0.975609756097561,13.844,12.05,0.024390243902439025,41,1
MCI_AD_seed250,0.6,2,79,26,2,24,53,0.3291139240506329,1.0,18.105000000000004,18.105000000000004,0.0,23,0
MCI_AD_seed250,0.6,3,79,18,1,17,61,0.22784810126582278,1.0,12.880000000000003,12.880000000000003,0.0,14,0
MCI_AD_seed250,0.7,0,79,50,2,48,29,0.6329113924050633,0.9743589743589743,11.725000000000001,11.725000000000001,0.02564102564102564,78,2
MCI_AD_seed250,0.7,1,79,38,2,36,41,0.4810126582278481,0.975609756097561,11.725000000000001,11.725000000000001,0.024390243902439025,41,1
MCI_AD_seed250,0.7,2,79,21,0,21,58,0.26582278481012656,1.0,,,0.0,23,0
MCI_AD_seed250,0.7,3,79,15,0,15,64,0.189873417721519,1.0,,,0.0,14,0
MCI_AD_seed281,0.3,0,79,70,19,51,9,0.8860759493670886,0.6923076923076923,18.287894736842105,15.440000000000001,0.3076923076923077,78,24
MCI_AD_seed281,0.3,1,79,54,19,35,25,0.6835443037974683,0.7073170731707317,18.287894736842105,15.440000000000001,0.2926829268292683,41,12
MCI_AD_seed281,0.3,2,79,43,16,27,36,0.5443037974683544,0.782608695652174,19.441875000000003,18.265,0.21739130434782608,23,5
MCI_AD_seed281,0.3,3,79,26,9,17,53,0.3291139240506329,0.8571428571428572,21.14888888888889,21.090000000000003,0.14285714285714285,14,2
